,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,总交易次数,胜率,盈亏比,累计手续费,params
2005,-0.07723114994190117,-0.09071193768313335,0.1964754727391921,-0.6143868036056097,0.10194917892273642,2005-04-01 14:15:00,2005-12-29 14:15:00,3407,0.4291165248018785,1.5523342619724583,0.10832957335006568,factor
2006,-0.16199202770085808,-0.16872455172184442,0.16458616827540454,-1.2074195165010198,0.23820928437750946,2006-01-05 14:45:00,2006-11-09 11:15:00,3855,0.5066147859922179,1.0348814276381486,0.16089362212267178,factor
2007,0.35775247332995663,0.3750201333344507,0.2631668884013118,1.3110317009498482,0.05473011009468875,2007-03-06 14:00:00,2007-05-31 10:15:00,3871,0.5151123740635495,1.1396841982255752,0.1731476973619624,factor
2008,0.1714140764981682,0.17594308558717087,79.69146834263523,0.0018313514435407984,0.09504971655385158,2008-03-20 14:30:00,2008-04-22 11:00:00,3935,0.45692503176620075,1.287033033991541,0.18812052848839333,factor
2009,0.1828275367799026,0.18935716438750338,0.2593774390350006,0.6143832901596333,0.03220394436263185,2009-07-29 14:15:00,2009-08-18 13:30:00,3903,0.5131949782218806,1.0579212423173345,0.12583173101511905,factor
2010,0.02092372210026494,0.021797695652445492,0.32032067154703153,-0.02560654080781106,0.0410120742551535,2010-10-15 15:00:00,2010-11-12 11:00:00,3871,0.4631878067682769,1.2063382031937402,0.09823505587915554,factor
2011,-0.026679136092793265,-0.0275417057911419,0.21439962183780695,-0.26838529516937365,0.05571951467721518,2011-04-14 09:45:00,2011-12-28 14:15:00,3903,0.4411990776325903,1.4805903882994338,0.0807657123120169,factor
2012,0.03346287565033412,0.03472351853739841,0.17086831157890975,0.027644204438790957,0.03735825558374461,2012-01-19 10:30:00,2012-09-06 11:30:00,3887,0.46153846153846156,1.6533219473253864,0.0719445211514702,factor
2013,0.010422032281695692,0.01103846459087765,0.24866924292939185,-0.0762520333666933,0.05352928459833514,2013-02-21 13:30:00,2013-06-21 14:45:00,3807,0.46099290780141844,1.3340728643766433,0.10476032231589491,factor
2014,0.12166132043902822,0.12534676053810978,0.2179828320137941,0.4374049077960239,0.04003274438924246,2014-01-08 09:45:00,2014-11-07 10:00:00,3919,0.45930084205154376,1.3081602804480128,0.09104298924447758,factor
2015,0.0031672008567882326,0.0032712131715910697,0.4087857615370208,-0.06538580680479082,0.2865642694129919,2015-06-29 11:30:00,2015-07-09 11:15:00,3903,0.48501152959262106,1.0502340807827912,0.16103206476075707,factor
2016,0.0513532224927673,0.05308086305359194,0.19334734010620863,0.1193751258275044,0.024227782747765936,2016-03-04 11:15:00,2016-03-09 14:15:00,3903,0.4396617986164489,1.3544248020594285,0.07366896732638709,factor
2017,-0.0279136964580996,-0.028815587090544326,0.10555166283882855,-0.5572208481485736,0.037963742932721804,2017-06-26 09:45:00,2017-12-18 14:15:00,3903,0.44222393031001794,1.3862451936953772,0.05627901325707941,factor
2018,-0.06255486241555153,-0.0647950032137532,0.23062493612118234,-0.4110353581363941,0.08195553180273643,2018-02-23 15:00:00,2018-12-25 09:45:00,3887,0.4571649086699254,1.0636383932071138,0.09817093017482198,factor
2019,-0.041089884192575976,-0.04240812114960135,0.14585627272138363,-0.49643474221994,0.07797802443247318,2019-02-25 14:45:00,2019-12-12 14:45:00,3903,0.46605175506021007,1.2964112487628103,0.08218972407792194,factor
2020,-0.07694255656267823,-0.07967566881380062,0.21325705906675863,-0.5142885740512224,0.08796099782795563,2020-01-02 10:30:00,2020-12-29 14:45:00,3887,0.48803704656547464,1.1007497121437753,0.09254216653993896,factor
2021,-0.10995706426941643,-0.11378868790864016,0.19447167317009892,-0.7393811425835383,0.1180107016687391,2021-01-13 09:45:00,2021-12-28 15:00:00,3887,0.473630048880885,1.1326681566775059,0.09407323849189392,factor
2022,-0.09610063212989195,-0.10975808059202341,0.24511289630406208,-0.5701784063562848,0.12001457166281043,2022-01-05 10:45:00,2022-10-25 15:00:00,3502,0.4663049685893775,1.2140991984405891,0.09135904315155613,factor
样本内,0.5696156473637797,0.031908324553784784,0.13787200403224129,0.013841276676724915,0.18842110457725425,2005-04-01 14:15:00,2006-11-09 11:15:00,57856,0.466796875,1.2467428149133333,1.6753444170501066,factor
样本外,-0.2828905565749039,-0.11191896885304031,0.19555131761720315,-0.7257377274790366,0.30558279229315083,2020-01-02 10:30:00,2022-10-25 15:00:00,11293,0.47640131054635615,1.14802845769342,0.27823623340351,factor
总体,0.2867242317683525,0.014807568525170955,0.12900088047298108,-0.11776998280264499,0.2878042220741401,2015-06-29 11:30:00,2022-10-25 15:00:00,69150,0.4683586406362979,1.23466153391017,1.9535815094741404,factor
2005,0.000939646546952444,0.0011117901141806108,0.1964754727391921,-0.14703214341754775,0.016600035840993087,2005-04-13 13:15:00,2005-11-16 10:45:00,3407,0.33665981802172,1.1328784234352474,0.00684522036469839,fct_new
2006,0.0518109571185017,0.05423880057232355,0.16458616827540454,0.14727118825540916,0.018155646966068865,2006-05-16 11:00:00,2006-05-24 13:45:00,3855,0.4555123216601816,1.4975976932133377,0.01368502222508477,fct_new
2007,-0.05262478157187844,-0.05473874794900668,0.2631668884013118,-0.3219962376869608,0.11113863952896073,2007-01-08 11:00:00,2007-06-06 10:00:00,3871,0.49961250322913975,1.0534755183108828,0.019504564546352538,fct_new
2008,-0.07229292258815145,-0.07398928290021611,79.69146834263523,-0.0013048985677251157,0.10697983138240684,2008-01-25 14:45:00,2008-09-18 11:15:00,3935,0.44599745870393903,0.9160691706187136,0.02095127617521205,fct_new
